,address,coordinates
73,"775 Fleischmann Way, Carson City, NV 89703, USA","39.17078099,-119.7721521"
74,"13960 TN-28, Whitwell, TN 37397, USA","35.20033281,-85.51500693"
75,"9400 Rhea County Hwy, Dayton, TN 37321, USA","35.52910134,-84.98177946"
76,"2500 Metrohealth Dr, Cleveland, OH 44109, USA","41.46091276,-81.69760208"
77,"70 Medical Center Dr, Commerce, GA 30529, USA","34.21939857,-83.46900739"
78,"2000 16th Ave, Columbus, GA 31901, USA","32.48269659,-84.96811113"
79,"161 Mt Pelia Rd, Martin, TN 38237, USA","36.33474838,-88.86849627"
80,"1600 Medical Pkwy, Carson City, NV 89703, USA","39.20211959,-119.7843831"
81,"64 E 100 N St, Gunnison, UT 84634, USA","39.15625599,-111.8164866"
82,"6059 Paramount Blvd, Long Beach, CA 90805, USA","33.86508146,-118.1562741"
83,"310 21st Ave N, Nashville, TN 37203, USA","36.15397318,-86.80339751"
84,"3250 Fannin St, Beaumont, TX 77701, USA","30.07290488,-94.12295454"
85,"5601 Bagby Ave, Waco, TX 76711, USA","31.49951789,-97.16502831"
86,"2901 Squalicum Pkwy, Bellingham, WA 98225, USA","48.77326836,-122.4729794"
87,"200 Calle Hernandez Carrion Ste 4407 Manati PR, Manatí, 00674, Puerto Rico","18.43455435,-66.4824951"
88,"1350 E Woodrow Wilson Ave # 2, Jackson, MS 39216, USA","32.32835321,-90.17223839"
89,"1100 S Medical Dr, Mt Pleasant, UT 84647, USA","39.53123669,-111.4610951"
90,"100 Park Rd, Nocona, TX 76255, USA","33.77727442,-97.73270103"
91,"1901 SW H K Dodgen Loop, Temple, TX 76502, USA","31.07254989,-97.37546506"
92,"1207 S Bailey St, Electra, TX 76360, USA","34.01802681,-98.92489812"
93,"100 Arrow Springs Blvd #2700, Lebanon, OH 45036, USA","39.39474081,-84.20874422"
94,"400 Fort Hill Ave Building 4, Canandaigua, NY 14424, USA","42.90100509,-77.26861401"
95,"707 S Roland St, Spearman, TX 79081, USA","36.19027677,-101.1996141"
96,"195 Wadsworth Rd, Wadsworth, OH 44281, USA","41.02848763,-81.75152011"
97,"1025 S 2nd Ave, Walla Walla, WA 99362, USA","46.05516275,-118.3291664"
98,"CGH4+XCG, Manatí, 00674, Puerto Rico","18.42993074,-66.4938181"
99,"4070 Hwy 17, Murrells Inlet, SC 29576, USA","33.56046875,-79.0427253"
