,address,lat,lon
82,"4370 WEST MAIN STREET, PO BOX 6907 DOTHAN AL",31.23790679999999,-85.45675700000001
83,1700 E 19TH STREET THE DALLES OR,45.5874991,-121.1636182
84,1660 SOUTH COLUMBIAN WAY SEATTLE WA,47.5632276,-122.3073994
85,1700 WADE HAMPTON BLVD GREENVILLE SC,34.8718519,-82.3638785
86,1000 LINCOLN ST FORT MORGAN CO,40.2603968,-103.7957489
87,3100 SUMMIT STREET OAKLAND CA,37.8201507,-122.2639466
88,2601 VETERANS DR HARLINGEN TX,26.1710747,-97.66718859999999
89,1011 14TH AVENUE NW ARDMORE OK,34.1890078,-97.14090120000002
90,1200 NORTH ELM ST GREENSBORO NC,36.0910599,-79.78725179999999
91,235 W 6TH ST RENO NV,39.5318614,-119.8188283
92,1540 MAPLE ROAD AMHERST NY,42.9940357,-78.7298953
93,"2300 SOUTH 16TH STREET, 7TH FLOOR LINCOLN NE",40.7894507,-96.69810059999999
94,1221 PINE GROVE AVE PORT HURON MI,42.9869446,-82.4297392
95,"723 WEST FAIRVIEW ST, PO BOX 151 ALBION NE",41.6833015,-98.005623
96,2830 CALDER BEAUMONT TX,30.0868054,-94.1320259
97,300 NORTH HOSPITAL DRIVE PRICE UT,39.6052917,-110.832847
98,511 NE 10TH ST ABILENE KS,38.9244222,-97.1985881
99,2001 VAIL AVE CHARLOTTE NC,35.2100355,-80.8217535
